IDs         length   Exptl.  resolution  R-factor FreeRvalue
7ODCA       424      XRAY        1.600    0.20    0.23
3T7YA        97      XRAY        2.100    0.19    0.23
4EIUA       249      XRAY        1.900    0.18    0.21
4HKTA       331      XRAY        2.000    0.19    0.23
4LX3A       108      XRAY        1.500    0.17    0.19
3T47A        81      XRAY        1.300    0.16    0.19
2NUTC       196      XRAY        2.300    0.22    0.27
3RC3A       677      XRAY        2.080    0.16    0.20
3L1NA       194      XRAY        1.300    0.18    0.20
5M1PA       191      XRAY        1.100    0.22    0.23
3H6RA       152      XRAY        1.950    0.20    0.24
5TTYA       300      XRAY        1.800    0.20    0.23
4CN0A        97      XRAY        1.750    0.18    0.21
5GPIA        53      XRAY        1.580    0.17    0.20
2BB3A       221      XRAY        2.270    0.22    0.27
5H0JA       244      XRAY        1.800    0.18    0.20
2AEFA       234      XRAY        1.700    0.23    0.27
3CERA       343      XRAY        2.400    0.22    0.27
5CIOA       793      XRAY        2.500    0.20    0.26
2YXYA       115      XRAY        2.200    0.23    0.26
3BSOA       510      XRAY        1.740    0.20    0.23
3M0ZA       249      XRAY        1.200    0.13    0.15
4QYSA       442      XRAY        1.940    0.20    0.25
3HA2A       177      XRAY        1.800    0.20    0.23
3II7A       306      XRAY        1.630    0.16    0.19
2RE7A       134      XRAY        2.500    0.19    0.23
3W5JA       204      XRAY        1.930    0.19    0.23
4ZLDA       155      XRAY        1.600    0.16    0.18
2IXSA       323      XRAY        2.000    0.18    0.21
4G6TB        82      XRAY        1.560    0.21    0.23
5J26B        76      XRAY        2.500    0.24    0.29
4D8MA       587      XRAY        2.300    0.23    0.22
3DBYA       269      XRAY        2.100    0.20    0.26
1EZIA       228      XRAY        2.000    0.21    0.26
3ZG9A        47      XRAY        1.800    0.18    0.21
5IT6A       134      XRAY        1.550    0.17    0.19
2OLRA       540      XRAY        1.600    0.18    0.20
2GRVA       621      XRAY        2.400    0.22    0.25
3R3PA       105      XRAY        2.200    0.22    0.26
2V5TA       189      XRAY        2.000    0.18    0.23
3C4SA        66      XRAY        1.700    0.19    0.19
5D1IA       131      XRAY        2.000    0.19    0.23
5CKWA       451      XRAY        2.490    0.21    0.26
2CVIA        83      XRAY        1.500    0.20    0.23
3LOUA       292      XRAY        1.900    0.19    0.22
5E33A       726      XRAY        1.840    0.18    0.22
3L9VA       189      XRAY        2.150    0.21    0.26
1YD9A       193      XRAY        1.600    0.23    0.26
1KPGA       287      XRAY        2.000    0.19    0.23
4N67A       227      XRAY        1.550    0.17    0.19
4J27A       450      XRAY        1.590    0.16    0.18
3UB6A       181      XRAY        1.380    0.12    0.15
4EETB       115      XRAY        1.200    0.20    0.21
1KMVA       186      XRAY        1.050    0.13    0.18
5SY8O       163      XRAY        1.620    0.17    0.21
2YOPA       198      XRAY        2.300    0.19    0.23
3KJHA       254      XRAY        1.900    0.19    0.24
4WRIA       192      XRAY        1.400    0.17    0.20
3M0UA        62      XRAY        1.100    0.16    0.17
1MJ5A       302      XRAY        0.950    0.11    0.14
2FJRA       189      XRAY        1.950    0.22    0.25
5HMTA       249      XRAY        1.570    0.18    0.21
3WA2X       621      XRAY        1.080    0.13    0.15
5JCAL       474      XRAY        1.500    0.14    0.15
2PR7A       137      XRAY        1.440    0.17    0.20
1P9HA       226      XRAY        1.550    0.20    0.20
3FTJA       226      XRAY        2.000    0.20    0.25
4N4UA       326      XRAY        1.570    0.18    0.21
4TXWA       173      XRAY        1.400    0.15    0.17
1O5LA       213      XRAY        2.300    0.20    0.25
2RB7A       364      XRAY        1.600    0.15    0.18
4YUCA       335      XRAY        1.310    0.17    0.19
3A1JC       263      XRAY        2.500    0.21    0.28
2GB4A       252      XRAY        1.250    0.14    0.19
5M2PA       109      XRAY        1.330    0.15    0.17
2R2DA       276      XRAY        1.750    0.16    0.21
4PKMA       309      XRAY        1.650    0.18    0.20
3D3ZA       247      XRAY        1.700    0.19    0.23
2BSYA       278      XRAY        1.500    0.15    0.19
3HNYM       159      XRAY        1.070    0.20    0.20
1QFTA       175      XRAY        1.250    0.18    1.00
1EAQA       140      XRAY        1.250    0.15    0.17
3HBCA       320      XRAY        2.270    0.19    0.23
3WA0G        96      XRAY        2.310    0.24    0.26
1LFKA       398      XRAY        1.700    0.20    0.23
1U0TA       307      XRAY        2.300    0.23    0.29
1XAKA        83      XRAY        1.800    0.22    0.28
4K37A       370      XRAY        1.620    0.17    0.20
4KS9A       428      XRAY        2.300    0.24    0.29
4MT8A       102      XRAY        1.900    0.20    0.23
3FDHA       499      XRAY        1.750    0.16    0.19
3FSSA       237      XRAY        1.430    0.18    0.21
4K3ZA       331      XRAY        1.950    0.19    0.23
5IU1A       116      XRAY        1.700    0.16    0.20
3I45A       387      XRAY        1.360    0.16    0.17
1KJNA       157      XRAY        2.200    0.22    0.25
3GR4A       550      XRAY        1.600    0.21    0.23
3H36A        93      XRAY        1.800    0.20    0.24
2YXNA       322      XRAY        1.800    0.20    0.25
5BVUA       799      XRAY        1.610    0.15    0.17
1YT5A       258      XRAY        2.300    0.22    0.28
4NOOA       205      XRAY        2.300    0.19    0.23
3L8DA       242      XRAY        1.700    0.21    0.23
5DM2A       265      XRAY        1.500    0.21    0.24
3L4EA       206      XRAY        1.500    0.17    0.22
5GHAE        85      XRAY        2.500    0.20    0.25
5LU2A       231      XRAY        2.500    0.21    0.25
4IJNA       398      XRAY        1.700    0.17    0.20
4C3SA       445      XRAY        1.640    0.15    0.17
3T8JA       311      XRAY        1.600    0.16    0.17
4F01A       241      XRAY        1.400    0.16    0.21
2A14A       263      XRAY        1.700    0.16    0.20
4Q3KA       260      XRAY        1.570    0.15    0.19
3H7HA       120      XRAY        1.550    0.19    0.22
2IQYA       190      XRAY        1.400    0.15    0.19
2Q7FA       243      XRAY        2.490    0.21    0.26
2G0DA       409      XRAY        2.210    0.19    0.23
3SIBA       220      XRAY        1.900    0.16    0.19
4P3HA       193      XRAY        1.450    0.17    0.20
5AOGA       307      XRAY        1.270    0.14    0.16
4A1RA       149      XRAY        1.920    0.22    0.29
3CC8A       230      XRAY        1.640    0.17    0.20
2QGUA       211      XRAY        1.500    0.19    0.21
4XXUA       257      XRAY        1.430    0.16    0.18
2PFTA       571      XRAY        2.250    0.23    0.28
4HYZA       114      XRAY        2.250    0.19    0.21
2W25A       150      XRAY        2.150    0.22    0.22
3BF5A       306      XRAY        1.910    0.20    0.24
2PNLA       203      XRAY        2.210    0.20    0.27
5B66B       505      XRAY        1.850    0.16    0.20
5JH8A       317      XRAY        1.020    0.13    0.15
4NTKA       121      XRAY        1.600    0.19    0.22
5VACA       229      XRAY        1.950    0.19    0.23
2HLYA       207      XRAY        1.600    0.17    0.21
3D37A       381      XRAY        2.100    0.22    0.27
1RSGA       516      XRAY        1.900    0.21    0.24
4BPSA       344      XRAY        1.080    0.13    0.15
5C37A       664      XRAY        2.300    0.21    0.25
5K87A       399      XRAY        1.220    0.16    0.18
3Q87B       170      XRAY        2.000    0.20    0.26
4C2VC        44      XRAY        1.490    0.17    0.20
2X7IA       308      XRAY        2.200    0.21    0.26
5CEGA        93      XRAY        1.590    0.17    0.20
1XTTA       216      XRAY        1.800    0.19    0.23
3DXRB        95      XRAY        2.500    0.25    0.28
4OH7A       320      XRAY        1.500    0.16    0.18
4TX3B       481      XRAY        2.500    0.17    0.23
1SUUA       312      XRAY        1.750    0.20    0.23
4P3VA        90      XRAY        1.250    0.16    0.17
1PL5A       142      XRAY        2.500    0.26    0.29
4X2PA       383      XRAY        1.650    0.14    0.18
4JO0A       534      XRAY        2.170    0.20    0.23
3MZ2A       292      XRAY        1.550    0.17    0.20
2XKIA       110      XRAY        1.300    0.15    0.18
1TWFB      1224      XRAY        2.300    0.26    0.29
4YG0A       164      XRAY        1.280    0.17    0.20
3DEFA       262      XRAY        1.960    0.17    0.21
2X0DA       413      XRAY        2.280    0.19    0.24
5FC2B       540      XRAY        1.840    0.18    0.21
5XG2A       260      XRAY        2.000    0.22    0.26
3BONA       425      XRAY        1.200    0.13    0.16
5CXXA       275      XRAY        1.550    0.14    0.16
4CJ0A       625      XRAY        1.100    0.11    0.12
3DSDA       349      XRAY        2.200    0.20    0.25
1JB7B       260      XRAY        1.860    0.23    0.25
4ZX2A       333      XRAY        1.230    0.16    0.17
4N0KA       108      XRAY        1.050    0.16    0.18
4YBBCU       93      XRAY        2.100    0.22    0.23
3TDSA       268      XRAY        1.980    0.18    0.20
5IB9A       421      XRAY        1.400    0.18    0.22
5THKA       266      XRAY        1.400    0.14    0.16
3RKGA       261      XRAY        1.280    0.17    0.20
4Z39A       121      XRAY        1.300    0.13    0.16
4JJAA       371      XRAY        1.300    0.12    0.15
4XCPA       170      XRAY        2.140    0.20    0.22
4B2ZA       448      XRAY        1.950    0.20    0.24
5V87A       162      XRAY        1.690    0.18    0.20
3ND1A       275      XRAY        1.500    0.20    0.22
4Q7AA       370      XRAY        2.050    0.16    0.17
2GM3A       175      XRAY        2.460    0.22    0.26
